"Surface Type","Surface Identifier / Route / File","Owning Module","Status in Code","Tested In Scenario / Probe","Static Verification","Runtime Verification","Gating Outcome","Finding / Issue"
"API / Web Route Endpoint","GET /s/{slug}/tables/state","table_service","live","http:/s/audit-solo-mlf1rqwq/tables/state","routes/api.php & routes/web.php & bootstrap/app.php middleware audit","Runtime probe response: Executed in probe suite","UNPROTECTED / LEAKED (HTTP 200 without module)","LAUNCH BLOCKER: GET /s/{slug}/tables/state executes without requiring module 'table_service'"
"API / Web Route Endpoint","GET /s/{slug}/new-pos","pos","live","http:/s/audit-solo-mlf1rqwq/new-pos","routes/api.php & routes/web.php & bootstrap/app.php middleware audit","Runtime probe response: Executed in probe suite","UNPROTECTED / LEAKED (HTTP 200 without module)","LAUNCH BLOCKER: GET /s/{slug}/new-pos executes without requiring module 'pos'"
"API / Web Route Endpoint","GET /s/{slug}/new-invoice","invoicing","live","http:/s/audit-solo-mlf1rqwq/new-invoice","routes/api.php & routes/web.php & bootstrap/app.php middleware audit","Runtime probe response: Executed in probe suite","GATED PROPERLY (403 or redirect)","Gated properly by EnsureModule"
"API / Web Route Endpoint","GET /s/{slug}/inventory","inventory","live","http:/s/audit-solo-mlf1rqwq/inventory","routes/api.php & routes/web.php & bootstrap/app.php middleware audit","Runtime probe response: Executed in probe suite","GATED PROPERLY (403 or redirect)","Gated properly by EnsureModule"
"API / Web Route Endpoint","GET /s/{slug}/api/reckoner/catalogue","reports","live","http:/s/audit-solo-mlf1rqwq/api/reckoner/catalogue","routes/api.php & routes/web.php & bootstrap/app.php middleware audit","Runtime probe response: Executed in probe suite","GATED PROPERLY (403 or redirect)","Gated properly by EnsureModule"
"API / Web Route Endpoint","GET /s/{slug}/reports/discount","reports","live","http:/s/audit-solo-mlf1rqwq/reports/discount","routes/api.php & routes/web.php & bootstrap/app.php middleware audit","Runtime probe response: Executed in probe suite","GATED PROPERLY (403 or redirect)","Gated properly by EnsureModule"
"Dashboard Metric / Reckoner Reading","Metric: sales.revenue (Label: Revenue)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: sales.max_sale (Label: Largest Sale (excl. tax))","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: sales.gross_margin_pct (Label: Gross Margin)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.net_profit (Label: Net Profit)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.gross_profit (Label: Gross Profit)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.cogs (Label: Cost of Goods Sold)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.net_margin_pct (Label: Net Margin)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.expenses_total (Label: Expenses)","expenses","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.receivables (Label: Receivables)","khata_credit","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.payables (Label: Payables)","purchases","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.total_liquidity (Label: Total Liquidity)","payments,cash_register,bank_accounts","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.balance_sheet_ok (Label: Books Balanced)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: inventory.stock_value (Label: Stock Value)","inventory","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: inventory.low_stock_count (Label: Low Stock)","inventory","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: inventory.out_of_stock_count (Label: Out of Stock)","inventory","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: inventory.product_count (Label: Products)","products","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: inventory.overstock_count (Label: Overstocked)","inventory","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: purchasing.spend (Label: Purchases)","purchases","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: purchasing.count (Label: Purchase Bills)","purchases","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.paid_to_suppliers (Label: Paid to Suppliers)","purchases","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: party.customer_count (Label: Customers)","customers","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: party.supplier_count (Label: Suppliers)","suppliers","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: party.new_customers (Label: New Customers)","customers","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: party.dormant_customers (Label: Dormant Customers)","customers","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: production.total_cost (Label: Production Cost)","production_runs","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: production.run_count (Label: Production Runs)","production_runs","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: staff.on_shift_count (Label: Staff On Shift)","staff_attendance","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: staff.member_count (Label: Staff Members)","staff_attendance","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: operations.open_sales_orders (Label: Open Orders)","sales_orders","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: operations.pending_stock_takes (Label: Pending Stock Takes)","stock_takes","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: operations.pending_stock_transfers (Label: Pending Stock Transfers)","stock_transfers","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: tax.collected (Label: Tax Collected)","tax_compliance","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: restaurant.tables_occupied (Label: Tables Occupied)","table_service","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: restaurant.kitchen_orders_pending (Label: Kitchen Orders Pending)","table_service","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: platform.active_tenant_count (Label: Active Stores)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: platform.mrr (Label: MRR)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: sales.revenue_trend (Label: Revenue Trend)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.profit_trend (Label: Profit Trend)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: sales.payment_breakdown (Label: Payment Breakdown)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.expenses_by_category (Label: Expenses by Category)","expenses","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: sales.top_products (Label: Top Products)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: sales.top_customers (Label: Top Customers)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: inventory.low_stock_list (Label: Low Stock Items)","inventory","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.receivables_aging (Label: Receivables Aging)","khata_credit","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","GATED BY RECKONER","Properly hides when module disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.cash_flow_trend (Label: Cash Flow Trend)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: sales.hourly_heatmap (Label: Hourly Sales Heatmap)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: plan.usage_summary (Label: Plan Usage Summary)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: sales.live_feed (Label: Live Sales Feed)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: finance.expense_ratio (Label: Expense Ratio)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: reminders.count (Label: Invoice Reminders)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: recurring_invoices.count (Label: Recurring Invoices)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: recurring_invoices.revenue (Label: Recurring Monthly Revenue)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: batch_tracking.count (Label: Inventory Batches)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: batch_tracking.qty (Label: Batched Stock Quantity)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: proposals.count (Label: Proposals)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: purchase_orders.count (Label: Purchase Orders)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: sales_orders.count (Label: Sales Orders)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: returns.count (Label: Sales Returns)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: returns.qty (Label: Returned Units)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
"Dashboard Metric / Reckoner Reading","Metric: returns.value (Label: Returned Value)","core","live","TenantDefaultSeeder & ReckonerRegistry.php audit","Checked ReckonerRegistry::MODULE_MAP and Reckoner::checkAvailability()","http-probes.json: reckoner_off_readings probe","UNMAPPED / ALWAYS COMPUTED","Metric is treated as core and calculates even if related feature is disabled"
